Sat Nov 23 20:16:14 2024: Latitude: 30.3255646, Longitude: 78.0436813, Address: Dehradun, Uttarakhand, 248001, India
Sat Nov 23 20:16:15 2024: Latitude: 30.3255646, Longitude: 78.0436813, Address: Dehradun, Uttarakhand, 248001, India
Sat Nov 23 20:16:15 2024: Latitude: 30.3255646, Longitude: 78.0436813, Address: Dehradun, Uttarakhand, 248001, India
Sat Nov 23 20:16:16 2024: Latitude: 30.3255646, Longitude: 78.0436813, Address: Dehradun, Uttarakhand, 248001, India
Sat Nov 23 20:16:19 2024: Latitude: 30.3255646, Longitude: 78.0436813, Address: Dehradun, Uttarakhand, 248001, India
Sat Nov 23 20:16:20 2024: Latitude: 30.3255646, Longitude: 78.0436813, Address: Dehradun, Uttarakhand, 248001, India
Sat Nov 23 20:16:20 2024: Latitude: 30.3255646, Longitude: 78.0436813, Address: Dehradun, Uttarakhand, 248001, India
Sat Nov 23 20:16:21 2024: Latitude: 30.3255646, Longitude: 78.0436813, Address: Dehradun, Uttarakhand, 248001, India
Sat Nov 23 20:16:21 2024: Latitude: 30.3255646, Longitude: 78.0436813, Address: Dehradun, Uttarakhand, 248001, India
Sat Nov 23 20:16:22 2024: Latitude: 30.3255646, Longitude: 78.0436813, Address: Dehradun, Uttarakhand, 248001, India
Sat Nov 23 20:16:22 2024: Latitude: 30.3255646, Longitude: 78.0436813, Address: Dehradun, Uttarakhand, 248001, India
Sat Nov 23 20:16:24 2024: Latitude: 30.3255646, Longitude: 78.0436813, Address: Dehradun, Uttarakhand, 248001, India
Sat Nov 23 20:16:26 2024: Latitude: 30.3255646, Longitude: 78.0436813, Address: Dehradun, Uttarakhand, 248001, India
Sat Nov 23 20:16:27 2024: Latitude: 30.3255646, Longitude: 78.0436813, Address: Dehradun, Uttarakhand, 248001, India
Sat Nov 23 20:16:27 2024: Latitude: 30.3255646, Longitude: 78.0436813, Address: Dehradun, Uttarakhand, 248001, India
Sat Nov 23 20:16:28 2024: Latitude: 30.3255646, Longitude: 78.0436813, Address: Dehradun, Uttarakhand, 248001, India
Sat Nov 23 20:16:30 2024: Latitude: 30.3255646, Longitude: 78.0436813, Address: Dehradun, Uttarakhand, 248001, India
